,COVID,shoot+to+kill,oust,public+transportation,mental+health,pwd,quarantine,social amelioration,subpoena,arrest,protesta,volunteer,disinformation,duterte,freedom of speech,LGBT,gay,human rights,prisoners,senior+citizen,upa,rent,unemployment,salary,sweldo,work,censorship,trabaho,ayuda,relief+goods,police,abogado,pulis,PNP,AFP,military,militar,fake+news,reklamo,checkpoint,social+distancing,lockdown,rapid testing,mass+testing,testing,pandemic,corona virus,coronavirus,karapatan,karapatang+pantao,human+rights
COVID,1.0,0.3073355802413094,0.08035608689756793,0.4282025769236552,0.3435278145494254,-0.2351248996929951,0.8728413944007076,-0.04525893440782138,-0.03431223810536694,0.18022936999418446,-0.008016403438189402,-0.20645251436033243,0.10042679250854974,0.7026605505620706,0.2196180836505796,-0.2760072174694524,-0.035262593857178524,-0.15293200900995388,0.0014045274277532727,-0.19982028297202778,-0.18909466364368183,-0.5718769918856487,-0.09391528486322498,-0.3486253974492539,-0.21663700115654658,0.23142740302889855,-0.05037330041491607,0.03779282911511191,0.18137830522284518,0.10468217557278843,-0.054108368101056965,0.0013546480833218641,-0.17183021821128255,-0.05919310945276321,0.07493807323817746,-0.004341720568557731,-0.13176751645960608,0.498762787738728,0.03936239170745333,0.4737883851757806,0.07921817152622743,0.8544098443891568,-0.04133792385514568,-0.06389430853391413,0.42014038451875974,0.8201038481160878,0.5199997712826749,0.5640663417229449,-0.21531770390408764,-0.1582593849147836,-0.026236341497319373
shoot+to+kill,0.3073355802413094,1.0,-0.17786191684790723,0.5991410660091441,0.7987392193636224,0.20859316407638065,0.2514987031812832,0.06914909480222368,0.12744785440941805,0.2828299747522039,0.22651529614795599,0.09649817962195027,0.05192966549351378,0.24662975607591098,0.2268398184134681,0.2874343197287177,-0.6381174551174572,0.611924048308808,-0.06895871055663727,0.570396669323065,-0.11595283902101289,-0.18186284877275824,0.4933511679356753,0.15888225849400248,-0.06549244704656378,0.6371305038448893,0.16438803966868737,0.5221027619699609,0.1526111615423608,0.42293077628090664,0.5784466083715448,0.19377333722780102,0.01875865928771855,0.29359223945652885,0.14577165115151924,0.07340093250456506,0.2619496727173686,0.12910689572447065,0.013076064326883073,0.05594096018905562,0.8170364945251398,0.2078993923649602,0.03881387431019425,-0.2897629005451568,0.7385600345632783,0.20363298165507013,0.11984377701905226,0.1186177321154196,0.6532423750438997,0.6174529436420946,0.7059922576082205
oust,0.08035608689756793,-0.17786191684790723,1.0,0.0686316466445032,-0.04160264237416413,-0.1870180911186095,0.13560158134254943,-0.041466206428336004,-0.10870847739302508,0.13254238393575288,0.03509634870736647,-0.16975341571229513,-0.02987000379172137,0.09216907551694145,0.10504374439628543,-0.2922147324412082,0.09023777013643836,0.03427245235308038,0.034870140094334215,-0.08686188634018473,-0.07397719467596969,-0.11216649389905821,-0.047245490465790255,-0.1541431190363585,0.1115748561331149,-0.18895761691216717,-0.09338104990672952,-0.15482951051049965,-0.16769793550342532,-0.17191139544702172,-0.0776170150137947,-0.005536610074562551,-0.016467311207698374,0.06581249435119146,-0.1489783215255882,-0.009931310711427208,-0.12427393301573837,-0.015885927551953654,0.2854181522786211,0.29124062806762674,-0.1012555506720712,0.1200381757770298,0.054605742875304925,0.034930915427150475,-0.0642353587983969,0.1142642057635016,0.3415438994037966,0.2790801202071797,-0.14985884169268607,-0.0794563585523698,-0.054047723035751644
public+transportation,0.4282025769236552,0.5991410660091441,0.0686316466445032,1.0,0.662477235812666,0.009933130104482475,0.3545292467974994,0.02759129102779207,0.15961744282321116,0.1894240378621693,0.06775560420993978,-0.05652083648188864,-0.0720697740441056,0.4364875256361475,0.11363238740696632,0.007377383912880846,-0.424589688520302,0.39714027830141946,-0.0020216472321293575,0.43173494284167496,-0.1992441713885773,-0.34245656717661854,0.46061449065204374,-0.02998583023478774,-0.1014198125418697,0.3944515234587055,-0.08924112223421964,0.3271742686418411,0.18153418062478446,0.2423092557985433,0.4668962951467349,0.16637332881482658,0.08583457263097226,0.3493018705574715,0.2740402642353435,-0.07451372413085051,0.3334986597417125,0.09820258869011683,0.16864490313890407,0.11857726393341003,0.5812142543206479,0.4016496632138497,0.030192376276363675,-0.4274503257989921,0.6114202363362329,0.42903190030690963,0.3853350555754534,0.37908690289467284,0.38593305714384896,0.4114707259790508,0.5545966403481646
mental+health,0.3435278145494254,0.7987392193636224,-0.04160264237416413,0.662477235812666,1.0,0.2100376591063103,0.2796491965220701,0.22391692969458157,0.3176913678107765,0.1790418878863665,0.21931862687320694,0.051979909835396014,0.010857703932209193,0.3329975776991175,0.21170115203952883,0.19867018256468805,-0.6901235599201822,0.649126780297472,-0.06578870884364268,0.5977891872611448,-0.18235906115545003,-0.23723170927052728,0.4534690091053538,0.16825508916667686,-0.12984075322655697,0.6822523535721263,0.017710827955877254,0.4550023489984177,0.19421186956702033,0.4546323469621165,0.5798089517119973,0.16544295467242087,0.06039881827100914,0.3880849687599611,0.19108250460467388,0.02770447197083712,0.35965314651699476,0.3024858943489317,-0.04453915518428442,0.0883424632182319,0.8124989415764506,0.27954400466291923,0.038668957542680384,-0.39535934427255587,0.8031563264929252,0.3144369130905589,0.47306798564464914,0.46342450373839156,0.6303230197766109,0.581812857560814,0.8132177039318307
pwd,-0.2351248996929951,0.20859316407638065,-0.1870180911186095,0.009933130104482475,0.2100376591063103,1.0,-0.28466468511857823,-0.16529156958359187,0.08492380616621109,-0.09665666223654457,0.23900959890193854,0.2867154838080071,0.00551929585608292,-0.10495420390148455,0.12361320678507466,0.27607213624900306,-0.2927453509161509,0.1703255091546937,0.011491322002515481,0.2599917453004111,0.029847656245878595,0.36475200987293793,0.2146691580481505,0.45518321062563816,-0.04276954707337171,0.1884982753616453,0.01714819449676943,0.20846940460252572,0.028205463812887906,0.21216354484277788,0.3084499078403939,-0.04728066383724733,0.11065399796384658,0.2235498875103376,0.12666141899569727,0.1937507722864133,0.12660793895035632,-0.06416189062396421,-0.00519688732367948,-0.22895207772155282,0.21862893704896452,-0.1997995525410191,0.188801672504827,-0.12552116230971397,0.2306747915811107,-0.14092400067986613,-0.3138239020179218,-0.3074637445208094,0.260357923901309,0.15558003896590855,0.20575246933764121
quarantine,0.8728413944007076,0.2514987031812832,0.13560158134254943,0.3545292467974994,0.2796491965220701,-0.28466468511857823,1.0,0.007590334154112194,-0.07840983293664348,0.2024888630002587,0.0400151378050791,-0.17584561476306662,0.187865334735924,0.6699880114941356,0.21711853764075947,-0.27077073064180907,0.01604505593513164,-0.09511029870403151,0.039809016649023636,-0.19992317563713352,-0.18980397291788645,-0.5152998328142481,-0.04949003729011597,-0.34606930445666095,-0.22051504908669975,0.17390178833629577,-0.1403490973579031,-0.11279893288972057,0.21211560636790944,0.07997581662361997,-0.07533970314409094,0.006890447570836992,-0.18663070982059393,-0.059624545609594216,0.03297312129289326,0.040527013989201596,-0.059569863169880555,0.45079424745464186,0.0022896520764870256,0.5936555565405852,0.08293489485443438,0.8461768691016415,-0.006803602020223066,-0.06625347323375246,0.3334536133188373,0.7454130090382762,0.5519632668942427,0.5744801951053546,-0.1549828829432578,-0.10852452709003518,-0.030243563257722997
social amelioration,-0.04525893440782138,0.06914909480222368,-0.041466206428336004,0.02759129102779207,0.22391692969458157,-0.16529156958359187,0.007590334154112194,1.0,0.19286497357735957,0.06480510460313507,-0.06490814022440852,0.159001235437149,0.16409852171574385,0.03657210628122834,-0.10401665086755764,0.030464928966297784,-0.13580659944785883,0.037595421959344476,-0.05173708038071832,0.14482088100797086,-0.0857568450115148,-0.16877231936082918,0.1694706672132504,0.03591380738912191,-0.025875175087911952,0.009973769015208436,-0.11046938566063177,-0.055374093771349664,0.16065922242385977,0.07434606340776662,-0.03192963152015272,0.012048020180472395,-0.05945829050880033,0.23938914935042538,0.043655228040042855,-0.052691331129514886,0.08050445466302233,0.023345634075316347,-0.125775709733831,-0.05118856991063897,0.042426081925498085,-0.010666736357409091,-0.019479148715224794,-0.03949315767008757,0.17124706957303082,-0.007129354870608816,0.458091430749269,0.4364528767274875,0.07576355475685746,0.09683454863025927,0.1405300682755893
subpoena,-0.03431223810536694,0.12744785440941805,-0.10870847739302508,0.15961744282321116,0.3176913678107765,0.08492380616621109,-0.07840983293664348,0.19286497357735957,1.0,-0.08669348287721321,0.12194857129583167,-0.011349132994036264,-0.27805888417972197,-0.08597578893972259,0.014033201082855974,0.003553382180389107,-0.23630430209813072,0.2082643210925912,-0.01743550215576609,0.13888381148034423,-0.05110470220516513,-0.17250352600252428,0.22547462933072973,0.1784451329889108,-0.07911142515298046,0.15984604226508858,0.053705758887515234,0.18204574787534364,0.3731862047411145,0.1378704124148387,0.19636109113366576,0.18446100326039225,-0.08166009467168132,0.13720322263291324,0.08810187494967195,-0.13863266735633661,0.1787306242888418,0.0034401194634038116,-0.0610286182928734,-0.04093958292106715,0.23183014735282204,-0.10504364632714257,-0.17591873055217344,-0.18857180044317576,0.22658951818018175,-0.07586540662690344,0.24955557888830235,0.22745447159598772,0.19592818844934265,0.23093665292399204,0.27296874507231056
arrest,0.18022936999418446,0.2828299747522039,0.13254238393575288,0.1894240378621693,0.1790418878863665,-0.09665666223654457,0.2024888630002587,0.06480510460313507,-0.08669348287721321,1.0,0.07195255013290765,0.040334558003042684,-0.0596455765901666,0.07968087294641328,0.28761577897979085,-0.0828547016300996,-0.15064662652591757,0.1331479912502405,0.010725278877743803,0.07637965331667101,0.06830777880592694,-0.23234293867399214,0.22571747810870427,0.09324103164020786,0.18693926122856905,0.060813592297396836,-0.13206254325348943,0.16487853778421918,-0.029091527048508033,0.14713051960650791,0.07631984062375667,0.01605402816911697,0.03788941373182907,-0.05651892540264752,-0.016569203631545473,-0.055198298351511965,0.05423907800496036,0.059823230379385056,-0.06651954429933814,0.16733654824156408,0.1776013539917094,0.1238845251809697,-0.06399008176709253,-0.0747297745868096,0.0589315398369425,0.09938548283582442,0.09998668939312401,0.11256939563243319,0.016341674704304494,0.14858408269116213,0.10681792689048353
