date,COVID,shoot+to+kill,oust,public+transportation,mental+health,pwd,quarantine,social amelioration,subpoena,arrest,protesta,volunteer,disinformation,duterte,freedom of speech,LGBT,gay,human rights,prisoners,senior+citizen,upa,rent,unemployment,salary,sweldo,work,censorship,trabaho,ayuda,relief+goods,police,abogado,pulis,PNP,AFP,military,militar,fake+news,reklamo,checkpoint,social+distancing,lockdown,rapid testing,mass+testing,testing,pandemic,corona virus,coronavirus,karapatan,karapatang+pantao,human+rights
1/1/2020,0,85,0,55,29,48,1,0,0,36,0,18,0,7,0,25,100,11,18,40,0,76,15,43,41,38,0,24,0,50,45,0,63,10,59,32,0,32,0,10,19,0,0,100,18,0,0,0,6,8,36
1/2/2020,0,88,0,60,45,76,1,0,23,36,0,28,0,6,0,35,82,7,0,36,0,96,12,62,64,44,0,35,0,27,61,0,55,23,65,31,7,31,94,12,23,0,0,30,53,0,0,0,12,0,45
1/3/2020,0,91,0,59,39,8,1,0,0,56,0,48,0,7,0,49,76,19,0,46,51,93,12,43,32,50,31,34,0,39,68,0,42,22,75,39,7,31,46,8,28,0,0,25,41,0,0,0,18,6,35
1/4/2020,0,88,0,56,41,48,2,0,0,45,0,29,0,7,0,52,78,18,15,43,0,88,24,50,34,46,0,37,0,51,41,0,59,13,86,41,7,36,0,12,31,0,0,54,21,0,0,0,19,5,38
1/5/2020,0,92,0,52,53,67,1,0,0,23,0,30,51,7,35,79,80,28,0,62,54,95,19,39,34,57,100,37,0,39,43,0,72,16,44,42,7,37,50,8,39,0,0,88,33,0,0,0,40,8,43
1/6/2020,0,93,0,71,60,35,1,0,0,59,0,71,0,10,30,80,61,30,13,78,47,87,43,43,59,63,58,43,0,45,63,0,61,22,87,47,20,37,43,7,59,0,0,33,45,0,0,0,47,25,50
1/7/2020,0,95,0,70,72,90,2,0,20,45,49,88,0,11,29,91,64,29,26,71,0,100,42,54,28,67,0,52,44,54,74,51,67,26,59,47,25,42,0,7,64,0,0,32,69,0,0,0,81,24,67
1/8/2020,0,95,0,67,78,88,2,0,20,44,0,55,0,10,57,100,64,42,0,82,46,95,41,62,0,62,0,38,0,62,83,0,42,25,98,100,22,78,81,7,75,0,0,43,72,0,0,0,53,24,73
1/9/2020,0,95,0,65,67,57,1,0,21,71,0,19,0,11,30,81,62,31,0,90,0,91,37,100,0,65,28,64,0,46,83,0,64,23,43,63,6,58,0,11,69,0,0,37,63,0,0,0,36,32,74
1/10/2020,0,93,0,70,59,58,1,0,45,91,0,48,0,9,0,66,66,36,14,72,50,96,57,78,0,58,0,42,0,48,93,0,62,25,47,38,7,43,0,8,48,0,0,31,39,0,0,0,14,16,49
1/11/2020,0,89,0,68,41,51,1,0,0,72,0,14,49,10,34,51,76,13,15,66,53,94,47,47,100,47,0,48,0,48,65,0,49,18,79,42,22,37,0,0,43,0,0,60,32,0,0,0,21,10,45
1/12/2020,0,92,0,52,57,36,1,0,44,41,0,40,0,7,0,74,65,15,28,63,49,80,22,40,31,99,31,26,0,54,55,28,28,11,45,31,7,92,45,8,52,0,0,69,32,0,0,0,40,11,61
1/13/2020,0,92,0,60,63,35,2,0,0,54,0,100,41,9,0,56,66,35,18,60,0,80,19,44,40,100,0,53,0,69,77,0,67,20,60,26,33,88,39,17,54,0,0,31,52,0,0,0,27,9,60
1/14/2020,0,94,8,62,72,68,1,0,18,44,0,86,0,9,0,63,64,40,22,76,41,93,23,58,51,67,37,42,0,100,87,0,55,24,73,36,35,49,36,0,72,0,0,33,57,0,0,0,36,14,71
1/15/2020,0,96,0,72,66,86,2,0,0,98,0,96,0,8,0,79,56,41,12,63,0,82,65,54,42,68,27,50,0,100,81,0,39,28,81,30,27,45,40,0,73,1,0,34,63,0,0,0,30,23,67
1/16/2020,0,95,0,62,65,83,2,0,41,64,0,69,0,9,0,51,66,49,27,79,0,89,63,61,58,67,29,49,0,100,93,0,57,15,74,35,32,45,42,7,70,0,0,39,66,0,0,0,31,26,68
1/17/2020,0,91,0,59,56,53,0,0,0,77,55,82,0,7,0,39,67,17,14,68,100,81,34,53,31,54,31,46,0,76,59,85,47,28,87,33,10,37,0,0,50,0,0,43,57,0,0,0,27,8,56
1/18/2020,0,91,0,60,45,40,1,0,0,60,0,60,0,6,34,21,79,18,100,67,0,82,43,40,35,48,0,70,0,98,73,0,53,15,44,31,7,36,0,8,43,0,0,58,31,0,1,0,17,7,45
1/19/2020,0,92,11,64,54,40,1,0,24,52,0,29,0,8,0,44,76,36,15,75,55,93,30,35,34,51,0,41,0,70,58,30,55,15,49,30,18,38,49,8,58,0,0,83,48,0,0,1,20,17,60
1/20/2020,0,95,0,78,71,61,2,0,0,39,0,26,66,7,0,43,63,54,0,87,0,95,37,47,44,70,0,57,0,76,86,0,69,27,76,33,100,40,43,0,79,0,0,36,65,0,1,3,49,16,77
1/21/2020,0,93,0,64,74,52,2,0,20,56,48,19,43,8,87,61,56,61,13,78,0,95,36,44,28,67,0,48,42,78,69,0,100,17,68,28,59,36,41,17,76,0,0,37,79,0,12,23,51,28,89
1/22/2020,0,95,0,69,75,56,2,0,41,95,0,44,0,8,59,69,61,39,19,98,46,88,42,56,87,67,28,45,0,76,78,26,85,22,79,35,78,39,0,11,79,0,0,36,52,0,17,30,52,14,76
1/23/2020,0,94,0,85,71,48,2,0,61,38,0,49,0,9,0,57,62,38,26,86,0,96,52,47,0,69,28,62,42,73,79,39,48,24,94,34,41,35,84,21,71,1,0,38,70,1,18,28,35,25,81
1/24/2020,0,90,0,63,59,77,3,0,22,48,0,13,0,8,32,38,67,38,21,72,49,83,22,37,31,56,0,37,46,67,73,0,59,18,57,25,7,42,0,8,54,1,0,25,61,1,22,30,16,14,58
1/25/2020,0,88,0,55,42,47,1,0,23,29,0,36,50,8,0,45,83,15,30,55,53,93,18,32,33,46,32,32,0,43,57,0,46,15,60,38,21,32,0,24,48,1,0,52,33,1,30,37,14,11,48
1/26/2020,0,91,0,54,64,54,3,0,23,70,0,55,49,8,32,44,74,58,22,67,0,91,17,36,31,52,0,46,0,40,47,29,52,13,29,24,35,97,46,15,70,1,0,78,34,1,38,49,41,25,70
